time,squat_id,phase,phase,phase_percent,knee_video,knee_imu,knee_error,trunk_video,thigh_pitch,shank_pitch,omega_imu,acc_imu,jerk_imu
24.691,6.0,ASCENT,ASCENT,71.99360767079503,81.71038307998799,127.55208050164916,-45.841697421661166,49.04285371584699,42.30105054275829,-10.146868955592543,1.6632706868692186,9.014296494931795,0.37477868724658947
24.724,6.0,ASCENT,ASCENT,73.31202556931686,84.43859596182828,131.459065308521,-47.02046934669271,48.59937066314741,39.96879055475638,-8.572144136722631,1.3750944455724603,9.135709344613318,7.576231500727317
24.758,6.0,ASCENT,ASCENT,74.67039552536954,89.10555203566199,136.5264418075448,-47.42088977188283,47.78699599289126,37.07485213407869,-6.398706058376503,0.875700541371455,9.562265122433123,12.069918041574283
24.791,6.0,ASCENT,ASCENT,75.98881342389137,94.3378938786411,139.98927664730667,-45.65138276866557,46.59864519915713,34.84939665126346,-5.161326701429852,0.5725352129818084,9.897440522166253,9.294034629605392
24.824,6.0,ASCENT,ASCENT,77.3072313224132,99.98646694429452,143.03250826743133,-43.046041323136805,45.17697288336326,32.5271350587021,-4.440356673866575,0.37641188338701137,10.089841611471927,3.195577604194284
24.858,6.0,ASCENT,ASCENT,78.66560127846589,105.65620230815748,146.3636508561351,-40.707448547977634,43.42329349509872,29.44579644292269,-4.190552700942188,0.2942104989864067,10.056092134934996,-3.9970907381745064
24.891,6.0,ASCENT,ASCENT,79.98401917698756,110.8098693576956,148.32825255479852,-37.51838319710292,41.477535677751085,27.369166482584863,-4.30258096261662,0.23229740818200467,9.91210449829738,-4.563593345590732
24.924,6.0,ASCENT,ASCENT,81.30243707550939,114.10482068904176,149.9241314540536,-35.819310765011835,39.49689981255968,25.62587883514735,-4.449989710799049,0.14498855382659664,9.818274922671002,-1.277635149125615
24.958,6.0,ASCENT,ASCENT,82.66080703156209,116.92501710968868,151.81608540527395,-34.89106829558527,37.49637864308448,23.68003135943913,-4.503883235286892,0.30104046975955495,9.860014883473252,2.783840537436845
24.991,6.0,ASCENT,ASCENT,83.9792249300839,119.30557717408078,153.3380079760033,-34.032430801922516,35.32087212083033,22.272827940214096,-4.389164083782604,0.3915624041817317,9.954425254250255,2.7740392451507887
25.025,6.0,ASCENT,ASCENT,85.3375948861366,121.62592741822677,155.0138210075865,-33.387893589359734,33.10812993380737,20.840677680249108,-4.145501312164402,0.30399005890422093,9.99252603124465,-0.7628364914797885
25.058,6.0,ASCENT,ASCENT,86.65601278465842,124.34660957739084,157.19538834206872,-32.84877876467789,30.79611143990905,19.10340632738708,-3.701205330544182,0.13108479535337572,9.871792100400768,-3.864597842456419
25.091,6.0,ASCENT,ASCENT,87.97443068318024,127.73744525001013,158.50270053461455,-30.76525528460442,28.21387881715763,18.12534894163433,-3.3719505237511216,0.22610009082102853,9.7875497659689,-1.2562208374642978
25.125,6.0,ASCENT,ASCENT,89.33280063923294,131.38528885661304,159.4479151472572,-28.062626290644147,25.488078747290253,17.442579612174974,-3.1095052405678385,0.22038520302674866,9.791963245676307,1.0617603865903789
25.158,6.0,ASCENT,ASCENT,90.65121853775476,135.26804250209452,160.39128790534036,-25.123245403245846,22.54119161329303,16.74400963881996,-2.8647024558396974,0.04957342238847522,9.840110696957819,0.9899610210740661
25.191,6.0,ASCENT,ASCENT,91.96963643627645,139.87609607686346,161.08281005611448,-21.20671397925102,19.355747889101224,16.187137157217762,-2.730052786667755,0.10885554161911676,9.86486433460597,0.7208837550343787
25.225,6.0,ASCENT,ASCENT,93.32800639232929,144.0610852621625,162.07357849565102,-18.012493233488527,16.193225103590702,15.321384853130162,-2.605036651218809,0.1902569907376882,9.886166268947663,0.19915601201995514
25.258,6.0,ASCENT,ASCENT,94.64642429085096,147.8700754652296,162.81996286963815,-14.949887404408543,13.294120271846506,14.648070261419976,-2.5319668689418773,0.13269233106596032,9.881044693275928,-0.5183763081677171
25.291,6.0,ASCENT,ASCENT,95.9648421893728,152.0989271836014,163.5231912375799,-11.424264053978504,10.567159799125516,14.0287871731903,-2.4480215892297843,0.036648587016249616,9.859868692866474,-0.737003301006439
25.325,6.0,ASCENT,ASCENT,97.32321214542549,156.2963525844834,164.13728760247284,-7.8409350179894375,8.084903257874455,13.496566870984358,-2.366145526542815,0.026498533107616008,9.842569215847695,-0.3506158931838286
25.358,6.0,ASCENT,ASCENT,98.6416300439473,160.134366036461,164.7668675330809,-4.632501496619909,6.009229852921388,12.91049695028919,-2.322635516629913,0.012553410331291868,9.839601304007452,0.12058551613904456
25.392,6.0,ASCENT,ASCENT,100.0,164.183882909464,165.137395890514,-0.9535129810500109,4.1935176228626885,12.52964455316078,-2.3329595563252123,0.02888078069047976,9.84486471986356,0.18610266242262696
25.425,,END,ASCENT,,167.87133895852838,165.50058740438917,2.3707515541392183,2.640393723683245,12.177153413663978,-2.322259181946845,0.05969657734201555,9.848770124472242,0.02099157272903085
25.458,,END,ASCENT,,170.92321874019586,166.07206059770513,4.851158142490732,1.5577690132985955,11.730213723502672,-2.1977256787921937,0.07403170228738717,9.839713873719921,-0.47211376549188344
25.492,,END,ASCENT,,173.43820247438035,166.57109703671486,6.8671054376654865,1.0555636019860708,11.382085647896536,-2.046817315388609,0.09583641261890943,9.823993687707052,-0.44123561184738946
25.525,,END,ASCENT,,174.85358786829605,167.0742135196299,7.779374348666153,0.8715314600622348,10.997667790189952,-1.9281186901801544,0.1375261469006697,9.818188438934419,0.08173668091637865
25.558,,END,ASCENT,,175.47717739922768,167.65484614839443,7.822331250833258,0.910888002683904,10.464526614083514,-1.880627237522027,0.1920974269971908,9.826200524182378,0.027092252756119706
25.592,,END,ASCENT,,176.01693103888448,168.00902185293742,8.007909185947057,1.180434192646794,10.125121219495885,-1.8658569275666963,0.24632919256828226,9.816605130804845,-0.6444248356694402
25.625,,END,STABLE,,176.08135278585138,168.3329205604952,7.748432225356169,1.4429505125449833,9.89857002648122,-1.7685094130235788,0.3362905997536714,9.794271663030408,-0.6203041361663963
25.658,,END,DESCENT,,175.80571037043836,168.78976044126804,7.0159499291703185,1.5933057460139934,9.8036648899619,-1.406574668770059,0.5410272847251879,9.791775541508857,0.5378361962658573
25.692,,END,DESCENT,,175.57503630274826,169.14154566712847,6.4334906356197905,1.7462019673015767,9.82302803673429,-1.0354262961372434,0.769699059270081,9.813754475133159,0.6633542539033783
25.725,,END,STABLE,,175.41325948291552,169.44610924345037,5.967150239465155,1.8761544318746428,9.72810357114167,-0.8257871854079516,1.092157158970766,9.815683172099932,-0.7486164583471009
25.759,,END,STABLE,,175.249246592628,169.4608248673045,5.788421725323502,1.9742136358885407,9.470859249588566,-1.0683158831069326,1.209384786649778,9.774290868780467,-1.9817987892836868
25.792,,END,STABLE,,175.12221495339196,169.36261772520746,5.759597228184504,2.068009319535979,9.185963398462675,-1.451418876329852,1.1971718548751014,9.700477965249682,-2.7594095350453927
25.825,,END,STABLE,,175.0379059397987,169.20189329242058,5.836012647378112,2.156685382137076,9.130195001307316,-1.667911706272092,1.2281449804874436,9.620060540912368,-2.3501913372678587
25.859,,END,STABLE,,174.97398269208588,168.67764900925943,6.296333682826457,2.214533510934861,9.723462944784368,-1.5988880459561967,1.483408167982278,9.552774449289695,-1.0824603472768217
25.892,,END,STABLE,,174.94896643568063,167.8806644977181,7.068301937962531,2.2980755853200763,10.656871112010435,-1.4624643902714367,1.64975477134959,9.532876232643348,-0.1232780741098054
25.925,,END,STABLE,,174.94382659066736,166.7664729348453,8.17735365582206,2.3690690594212547,11.844362135918937,-1.3891649292357595,1.6848337522288583,9.551210006191669,1.2623091128975261
25.959,,END,BOTTOM,,174.9628843943186,164.90888707103358,10.053997323285017,2.432707942583842,13.560935905384502,-1.5301770235819363,1.6286174836311915,9.58307127168328,-1.0495840240981238
25.992,,END,STABLE,,174.90124294207857,163.2524888710177,11.648754071060864,2.4884430987084456,14.889168741963292,-1.8583423870190003,1.6208312075136768,9.487277517282005,-4.760183066094214
26.026,,END,BOTTOM,,174.92762625970755,160.6309707177042,14.29665554200335,2.5375039400590405,16.86192790080699,-2.507101381488797,1.6480546445928823,9.359573202012642,1.310079893050954
26.059,,END,STABLE,,174.8848180151018,158.3409565890674,16.543861426034425,2.571761899206739,18.59675889666263,-3.062284514269977,1.6319860410267102,9.543891834260604,10.128467533412959
26.092,,END,STABLE,,174.845852456701,155.9630114156958,18.882841041005207,2.594256401831013,20.44764586228713,-3.589342722017088,1.586969186871601,9.878447453197094,9.795664454629332
26.126,,END,STABLE,,174.7832396384144,153.0890704158599,21.69416922255448,2.586200805073724,22.68842034068326,-4.222509243456851,1.520773234939088,10.063074579848168,-0.8034559958267664
26.159,,END,STABLE,,174.7147948679801,151.23639127208648,23.47840359589361,2.567104130471912,24.02639359172639,-4.737215136187147,1.4572630311159278,9.95613789191058,-5.247494681532487
26.192,,END,DESCENT,,174.5465078777197,149.52270539068513,25.023802487034573,2.5364754777910226,25.16346283819938,-5.313831771115479,1.38910397567347,9.795022212151176,-4.445980964464184
26.226,,END,STABLE,,174.39772766506505,147.1833298374999,27.214397827565136,2.43441096303243,26.686123112216656,-6.130547050283433,1.3406065065005295,9.744110594974048,2.4088625407239874
26.259,,END,DESCENT,,174.20827686315877,145.3017356895878,28.906541173570986,2.294022212536823,27.93856756030235,-6.759696750109875,1.3540202996486597,9.876584514926693,5.378113668703122
26.292,,END,DESCENT,,174.02678958064632,143.43563524226732,30.591154338379,2.089605559451825,29.227267192006625,-7.337097565726051,1.3881804933961992,10.0170555989099,3.0717522624416347
26.326,,END,DESCENT,,173.81250550385138,141.17207767075536,32.64042783309603,1.7276007559105715,30.86897465876944,-7.958947670475201,1.3725303617572173,10.016207238683524,-2.9982162904580036
