frame,time,squat_id,state,phase,knee_angle,hip_angle,trunk_angle,knee_angle_imu_sync
39,1.301,,STANDING,,179.74861837930638,3.002238115264011,2.8008603272387296,179.7385448306555
40,1.334,,STANDING,,179.6642895620543,2.985748704114393,2.801585439441708,179.679142940417
41,1.368,,STANDING,,179.59870618335745,2.967804240225631,2.806438193732323,179.6671693674423
42,1.401,,STANDING,,179.5430774692498,2.9482132055068657,2.815809576562882,179.6430577264705
43,1.434,,STANDING,,179.47019140530054,2.8948350114679267,2.7982438851174973,179.5621495529661
44,1.468,,STANDING,,179.4353113522083,2.8654372677774496,2.7920087451783178,179.43032680974784
45,1.501,,STANDING,,179.35230600341168,2.817750827267051,2.7866991343839245,179.31207004486018
46,1.534,,STANDING,,179.29118901178637,2.779239187149769,2.792347739963742,179.25383550106517
47,1.568,,STANDING,,179.19458812558037,2.726705505710196,2.799860040782091,179.26922445637908
48,1.601,,STANDING,,179.10930408591784,2.6919844632435077,2.8229491263997866,179.32382244345797
49,1.634,,STANDING,,178.99112577477658,2.648313102688721,2.844682132620864,179.35183591138983
50,1.668,,STANDING,,178.95729768267984,2.6245480981446367,2.8587209290321485,179.31206545266662
51,1.701,,STANDING,,178.91948823761632,2.6099481747255058,2.876997876655381,179.23561425539057
52,1.735,,STANDING,,178.88834751284148,2.5918636978635616,2.8954356115599653,179.1870393520682
53,1.768,,STANDING,,178.88988617176102,2.60934316619755,2.94507514860506,179.191280134569
54,1.801,,STANDING,,178.90932744771578,2.627412915258146,2.991286901720997,179.21932812249815
55,1.835,,STANDING,,178.94037938044474,2.656255369846816,3.044655949465023,179.25949272780989
56,1.868,,STANDING,,178.99724397933645,2.683386272999755,3.0918543916829484,179.33222451673345
57,1.901,,STANDING,,178.98560157719584,2.7032538336785934,3.141004687392646,179.44368089436563
58,1.935,,STANDING,,178.9443001521117,2.71665268126027,3.1910430885820302,179.54705522219174
59,1.968,,STANDING,,178.8131901915318,2.705261001471136,3.246886529462905,179.58452227589916
60,2.002,,STANDING,,178.67554674762513,2.6869046333435307,3.3012664172068305,179.5503477965324
61,2.035,,STANDING,,178.51112785504876,2.665926909561964,3.354200084018978,179.47190013203496
62,2.068,,STANDING,,178.4642393106192,2.668694371362762,3.402501697268869,179.37352519311366
63,2.102,,STANDING,,178.45497601515146,2.6950564072411725,3.4574823541085564,179.27272169121989
64,2.135,,STANDING,,178.51990257065626,2.73574604951238,3.498947085986989,179.19774516353036
65,2.168,,STANDING,,178.59615201210946,2.790795814669392,3.5402183497699427,179.17287813893043
66,2.202,,STANDING,,178.67966779789674,2.8478416300317786,3.580207682075835,179.20072153419457
67,2.235,,STANDING,,178.75683818829188,2.8878091283163347,3.60333715580533,179.23128098005625
68,2.268,,STANDING,,178.80435183063577,2.9066987282046317,3.6050637338728775,179.21041357884715
69,2.302,,STANDING,,178.86479722715745,2.92831382243672,3.6005990027118195,179.09787670863773
70,2.335,,STANDING,,178.91930154783137,2.9355925571030346,3.5820591705309823,178.90852963417194
71,2.369,,STANDING,,178.9610500151859,2.9328208190579046,3.5480783797502853,178.68384965865891
72,2.402,,STANDING,,178.98561107256782,2.897437971308021,3.474062933653502,178.50825234874196
73,2.435,,STANDING,,179.06150543352788,2.840836029395862,3.3606477646527666,178.4008254463563
74,2.469,,STANDING,,179.1267906752594,2.7611536052771264,3.2274095290179843,178.3247702015842
75,2.502,,STANDING,,179.15284412935864,2.650038809720912,3.0728509666340664,178.24655286816753
76,2.535,,STANDING,,179.16197071673508,2.520706916816195,2.912181060986572,178.1813502856074
77,2.569,,STANDING,,179.26320379555264,2.450280957034166,2.7915960083651097,178.16219624805922
78,2.602,,STANDING,,179.380760475427,2.40600773731087,2.710669508589307,178.19249170025958
79,2.635,,STANDING,,179.4681984749342,2.3669878477921795,2.637101176386886,178.25776472398258
80,2.669,,STANDING,,179.5508862246011,2.3388515737626348,2.5800787880796845,178.3365965214641
81,2.702,,STANDING,,179.6617951464611,2.3371316797142265,2.548970108810868,178.3770644969504
82,2.736,,STANDING,,179.72905462194657,2.3586843399412927,2.542454328711083,178.35972223230416
83,2.769,,STANDING,,179.6770515590299,2.3701231625798647,2.5454765484703934,178.30830523565018
84,2.802,,STANDING,,179.65921193097577,2.373557741956507,2.550394790246794,178.24723253986582
85,2.836,,STANDING,,179.683903391642,2.4017146311754303,2.5810239115438027,178.19415452345226
