session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts,imu0_ax_f,imu0_gx_f,imu0_ay_f,imu0_gy_f,imu0_az_f,imu0_gz_f,imu1_ax_f,imu1_gx_f,imu1_ay_f,imu1_gy_f,imu1_az_f,imu1_gz_f
20260212_183758,738,0.01,0.01278073089701004,0.008441860465117301,0.09806312292358799,0.015438538205980068,-0.01818272425249169,-0.005053156146179405,0.8100199335548173,-0.06794684385381977,-0.037156146179401994,0.002355481727574751,0.08763787375415283,0.027109634551495017,387797,-0.05592491697458959,0.0021052266270092717,0.014921949140531411,0.003120374335717095,0.043175798331623605,-0.005688081458432348,0.8896981297474272,-0.0029641206645797894,-0.020104220072305792,0.09289416947220128,-0.09144199987625708,0.016268878051440377
20260212_183758,739,0.01,0.0007807308970100291,0.050441860465117117,0.07806312292358797,0.007438538205980066,-0.04918272425249169,-0.004053156146179404,0.8100199335548173,-0.05594684385381932,0.071843853820598,0.015355481727574751,0.09163787375415283,0.018109634551495016,387807,-0.0879771730032081,0.004542181361410354,0.0036042493457083893,-0.005536292445990201,0.04813089524225114,-0.0017380079446267524,0.8681183307667375,-0.0048929445484212275,-0.020574689621020725,0.0877240721710966,-0.0836347069556676,0.012220264714197793
20260212_183758,740,0.01,0.053780730897009965,-0.015558139534881832,0.11506312292358789,0.015438538205980068,-0.08018272425249169,0.0019468438538205977,0.8530199335548173,-0.0529468438538192,0.04584385382059801,0.002355481727574751,0.10163787375415284,0.008109634551495014,387817,-0.12443271250394475,0.007978226207642892,-0.012028400470962437,-0.01786324131887787,0.0620059433734084,0.002042079998066874,0.8279274013033328,-0.00699976387968221,-0.022137143968783784,0.08033215117026099,-0.07136435885187918,0.008936329018807745
20260212_183758,741,0.01,0.10778073089701001,0.030441860465117543,-0.003936877076412104,0.019438538205980068,-0.08218272425249169,0.002946843853820595,0.8770199335548172,-0.07294684385382055,-0.11715614617940201,-0.013644518272425249,0.09463787375415283,-0.0018903654485049846,387827,-0.16242151948057293,0.012488262157621765,-0.031343394623723826,-0.034514092295591735,0.08563431427651727,0.0046565970353429405,0.7712844906495739,-0.009050446576833971,-0.024931541328351074,0.07135364386544661,-0.055233139741540475,0.006835312946627623
20260212_183758,742,0.01,-0.039219269102990006,0.06544186046511768,0.052063122923587946,0.022438538205980067,-0.0671827242524917,0.0019468438538205977,0.7850199335548173,-0.033946843853819075,-0.174156146179402,-0.01664451827242525,0.049637873754152816,-0.011890365448504985,387837,-0.1979034448985221,0.01803116247263161,-0.05305469073260617,-0.05602529805474186,0.11923233964576269,0.005076714858929727,0.7023437654370964,-0.010775684598054568,-0.029040591693179605,0.061483725043686224,-0.03615561176769777,0.006252750460360042
20260212_183758,743,0.01,-0.18621926910299003,-0.0565581395348822,0.04606312292358794,0.019438538205980068,-0.04818272425249169,0.007946843853820596,0.9750199335548173,0.046053156146180996,-0.099156146179402,-0.007644518272425249,-0.015362126245847176,-0.023890365448504987,387847,-0.22603690191527062,0.02442022496295136,-0.07526992000356508,-0.08260931931438621,0.162230724212688,0.0023233877295745706,0.62690150655683,-0.011898079412242418,-0.03445142805282885,0.05138001327105728,-0.015300612265607479,0.007401733178675394
20260212_183758,744,0.01,-0.27521926910299,-0.14955813953488217,0.21206312292358787,0.019438538205980068,-0.004182724252491693,0.007946843853820596,0.6040199335548173,-0.0009468438538196011,-0.233156146179402,-0.02064451827242525,-0.016362126245847177,0.004109634551495015,387857,-0.24182036253753175,0.031302035013478405,-0.09565072975681406,-0.11394262813942434,0.2131731980742903,-0.004452578106052511,0.5518006948435198,-0.012165502543280048,-0.04101347237245337,0.041585409464809854,0.006003425414870379,0.010351836785494025
20260212_183758,745,0.01,-0.4212192691029901,-0.029558139534882955,0.41106312292358793,0.03143853820598007,-0.03218272425249169,-0.008053156146179404,0.43401993355481727,-0.026946843853819402,0.181843853820598,-0.0026445182724252492,-0.004362126245847177,0.024109634551495014,387867,-0.24090853699245654,0.038151735239601296,-0.11167758536065507,-0.1490022648042738,0.2697145903990925,-0.015900556725104077,0.4841242511481336,-0.011385027509552208,-0.04841374528036202,0.032487695134683546,0.02642130064551969,0.015031051942047804
20260212_183758,746,0.01,-0.4312192691029899,-0.08855813953488223,0.29106312292358805,0.018438538205980067,-0.1591827242524917,-0.0330531561461794,0.3150199335548173,-0.04394684385381886,0.213843853820598,-0.01064451827242525,0.043637873754152824,0.03610963455149502,387877,-0.22044962046373973,0.04429314025856789,-0.1209887750942358,-0.18600397829302162,0.3287270426636166,-0.03241670032250735,0.43026474686394944,-0.00945202637023086,-0.0561880833242088,0.02432436001497759,0.04481110883449263,0.02124881492837288
20260212_183758,747,0.01,-0.37821926910299,-0.17155813953488241,0.19206312292358807,-0.0015614617940199332,-0.20718272425249168,-0.059053156146179404,0.13701993355481729,-0.10494684385382058,0.09684385382059801,-0.02964451827242525,0.06663787375415281,0.04310963455149502,387887,-0.17976903763864754,0.04895046154808284,-0.12174725678133479,-0.2224782251071413,0.3865045856120459,-0.05411168742064931,0.3950152889396484,-0.006369598101227278,-0.06377509178021486,0.017226080507206025,0.060422238720090365,0.028732247536197592
