session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260212_183758,86,0.01,-1.3,9.419,-1.458,0.016,-0.122,-0.034,-0.175,-10.097,0.157,0.02,0.119,0.002,381277
20260212_183758,87,0.01,-1.259,9.447,-1.628,0.017,-0.149,-0.042,0.317,-9.951,0.3,0.006,0.174,0.013,381287
20260212_183758,88,0.01,-1.213,9.407,-1.697,0.008,-0.115,-0.049,0.541,-10.006,0.285,0.021,0.186,0.017,381297
20260212_183758,89,0.01,-1.143,9.38,-1.743,0.0,-0.085,-0.051,0.625,-10.107,0.368,0.027,0.154,0.011,381307
20260212_183758,90,0.01,-1.062,9.417,-1.701,0.015,-0.093,-0.05,0.627,-10.131,0.413,0.021,0.086,0.008,381317
20260212_183758,91,0.01,-0.985,9.492,-1.621,0.023,-0.103,-0.05,0.459,-10.049,0.339,0.006,0.015,0.004,381327
20260212_183758,92,0.01,-0.979,9.488,-1.547,0.015,-0.072,-0.05,0.246,-9.96,0.313,-0.004,-0.023,0.004,381337
20260212_183758,93,0.01,-1.033,9.448,-1.455,0.013,-0.037,-0.05,0.181,-10.024,0.15,-0.002,-0.044,0.013,381347
20260212_183758,94,0.01,-1.071,9.464,-1.421,0.014,-0.054,-0.055,0.193,-10.057,0.077,-0.01,-0.053,0.015,381357
20260212_183758,95,0.01,-1.021,9.452,-1.493,0.012,-0.086,-0.06,0.166,-10.041,0.049,-0.008,-0.096,0.013,381367
20260212_183758,96,0.01,-1.117,9.459,-1.545,0.011,-0.049,-0.064,0.165,-9.997,0.011,-0.007,-0.099,0.014,381377
20260212_183758,97,0.01,-1.177,9.415,-1.583,0.006,-0.003,-0.064,0.206,-10.015,0.032,-0.009,-0.084,0.018,381387
20260212_183758,98,0.01,-1.219,9.47,-1.673,0.005,0.017,-0.067,0.236,-10.045,0.042,0.002,-0.077,0.022,381397
20260212_183758,99,0.01,-1.226,9.433,-1.626,0.0,-0.022,-0.068,0.262,-10.021,0.133,0.003,-0.054,0.025,381407
20260212_183758,100,0.01,-1.192,9.413,-1.546,0.008,-0.046,-0.066,0.23,-10.018,0.118,0.004,-0.058,0.027,381417
20260212_183758,101,0.01,-1.219,9.43,-1.571,0.012,-0.045,-0.063,0.217,-10.0,0.138,0.006,-0.044,0.031,381427
20260212_183758,102,0.01,-1.263,9.409,-1.577,0.013,-0.069,-0.057,0.224,-9.992,0.194,0.007,-0.034,0.036,381437
20260212_183758,103,0.01,-1.283,9.388,-1.576,0.019,-0.104,-0.05,0.187,-9.994,0.187,0.005,-0.024,0.039,381447
20260212_183758,104,0.01,-1.292,9.381,-1.6,0.022,-0.115,-0.046,0.105,-10.028,0.213,0.005,-0.006,0.042,381457
20260212_183758,105,0.01,-1.342,9.394,-1.555,0.028,-0.12,-0.048,0.0,-9.957,0.148,-0.001,-0.015,0.047,381467
20260212_183758,106,0.01,-1.384,9.325,-1.462,0.036,-0.16,-0.054,-0.093,-9.979,0.138,-0.002,-0.034,0.051,381477
20260212_183758,107,0.01,-1.312,9.31,-1.316,0.059,-0.219,-0.062,-0.229,-10.003,0.139,-0.009,-0.038,0.046,381487
