time,squat_id,phase,phase_percent,knee,trunk
14.714,6,BOTTOM,48.43091334894618,68.35847327228842,53.656680795940645
14.748,6,BOTTOM,50.02341920374705,67.29168747795842,53.45912496785843
14.781,6,BOTTOM,51.56908665105391,66.3221539470587,53.09371091429806
14.814,6,BOTTOM,53.11475409836067,65.75765711253953,52.88881101207617
14.848,6,BOTTOM,54.707259953161646,65.73698082242126,52.79762462060914
14.881,6,BOTTOM,56.25292740046841,66.10858975862104,52.54761436824634
14.914,6,ASCENT,57.79859484777518,66.05520087869095,52.050664675017664
14.948,6,ASCENT,59.391100702576146,66.1622577717312,51.79557942708559
14.981,6,ASCENT,60.936768149882916,66.47706420464888,51.590563940553125
15.015,6,ASCENT,62.529274004683884,67.37437887577231,51.64244782692053
15.048,6,ASCENT,64.07494145199065,69.02184820129244,51.58823067087606
15.081,6,ASCENT,65.62060889929742,71.21132447290647,51.41268284054604
15.115,6,ASCENT,67.21311475409838,73.8374166417001,51.00154699057735
15.148,6,ASCENT,68.75878220140515,76.88340730181407,50.422929202897436
15.181,6,ASCENT,70.30444964871192,80.38003524044169,49.58583046409866
15.215,6,ASCENT,71.8969555035129,84.50656267661425,48.87793869845767
15.248,6,ASCENT,73.44262295081965,88.91382752864793,48.22357212968542
15.281,6,ASCENT,74.98829039812651,93.36594427110722,47.53085232341649
15.315,6,ASCENT,76.5807962529274,97.63079208918964,46.475910312152656
15.348,6,ASCENT,78.12646370023425,101.25359880850144,45.101920185299136
15.382,6,ASCENT,79.71896955503513,104.48638201527032,43.39277562881422
15.415,6,ASCENT,81.2646370023419,107.90469435348889,41.52274338872494
15.448,6,ASCENT,82.81030444964875,111.94338026602011,39.54790011886138
15.482,6,ASCENT,84.40281030444964,116.45292047171014,37.60697822680532
15.515,6,ASCENT,85.94847775175649,121.24147199685629,35.65229209664487
15.548,6,ASCENT,87.49414519906325,125.71649294115369,33.58026309302855
15.582,6,ASCENT,89.08665105386423,130.30706281363305,31.321633455060464
15.615,6,ASCENT,90.632318501171,135.03522377776957,28.84415752828237
15.648,6,ASCENT,92.17798594847775,140.48343840789497,26.15754048370431
15.682,6,ASCENT,93.77049180327873,146.36099141526137,23.118480788632365
15.715,6,ASCENT,95.3161592505855,153.0528702679067,20.009811292895904
15.749,6,ASCENT,96.90866510538648,159.16100809568528,16.933172633956293
15.782,6,ASCENT,98.45433255269323,164.73870030743723,13.785809033021119
15.815,6,ASCENT,100.0,168.99947546841497,10.906217039158747
17.283,7,START,0.0,159.18853645005964,20.239441247735503
17.317,7,DESCENT,1.8191546281433344,154.00254739922377,23.218731315424964
17.35,7,DESCENT,3.5848047084002235,148.13131556869456,26.194278482710622
17.384,7,DESCENT,5.403959336543558,142.18743393335302,29.081262089259212
17.417,7,DESCENT,7.169609416800447,136.2456273355379,31.849230189976375
17.45,7,DESCENT,8.935259497057146,130.30888349400152,34.537246211302964
17.484,7,DESCENT,10.75441412520067,124.5504487735119,36.88645905276779
17.517,7,DESCENT,12.52006420545737,119.51944176221767,38.80889018155451
17.55,7,DESCENT,14.28571428571426,114.00959077230588,40.58179425733344
17.584,7,DESCENT,16.104868913857594,108.96061460398532,42.18002576933917
17.617,7,DESCENT,17.87051899411448,104.54650601677838,43.310302707663574
17.65,7,DESCENT,19.636169074371182,100.83222587977832,44.4317456622994
17.684,7,DESCENT,21.455323702514704,97.61734029914578,45.589947163588256
17.717,7,DESCENT,23.220973782771402,95.31017005939893,46.61613168130085
17.751,7,DESCENT,25.04012841091493,92.78967953017369,47.5787651385686
17.784,7,DESCENT,26.80577849117163,91.07420565658859,48.774271681079696
17.817,7,DESCENT,28.57142857142852,89.0724965234149,49.962256402555134
17.851,7,BOTTOM,30.390583199571854,86.33297927313059,51.109959344125436
17.884,7,BOTTOM,32.15623327982874,83.37590376750299,52.278166350072276
17.917,7,BOTTOM,33.92188336008563,80.75043177920821,53.429483276428
17.951,7,BOTTOM,35.74103798822896,78.01413390747796,54.53882124354743
17.984,7,BOTTOM,37.50668806848586,75.83482576714519,55.4215185229422
18.018,7,BOTTOM,39.32584269662919,74.30527120981876,56.17911672172378
18.051,7,BOTTOM,41.091492776885886,73.15381279972185,57.155431516092584
18.084,7,BOTTOM,42.857142857142776,72.55372623656903,57.897002279668754
18.118,7,BOTTOM,44.676297485286106,72.26669714153134,58.46571718960037
18.151,7,BOTTOM,46.441947565543,72.04455554820409,59.05072716557849
18.184,7,BOTTOM,48.207597645799886,71.89111581070179,59.57902364699178
18.218,7,BOTTOM,50.02675227394322,71.85910972624461,59.62210996654302
18.251,7,BOTTOM,51.79240235420011,71.67418915733722,59.69947393294196
18.284,7,BOTTOM,53.55805243445681,71.44533291701623,59.526868058825166
18.318,7,BOTTOM,55.377207062600334,71.11946428827665,59.261600123790096
18.351,7,BOTTOM,57.14285714285704,70.94161936838546,58.954357545903704
18.385,7,BOTTOM,58.962011771000554,71.03205989486523,58.59653223838761
18.418,7,ASCENT,60.72766185125725,71.46270851448398,58.06456019737178
18.451,7,ASCENT,62.49331193151415,72.3213136841068,57.56861722134526
18.485,7,ASCENT,64.31246655965748,74.07106511855437,57.03650464091618
18.518,7,ASCENT,66.07811663991437,76.50864014808707,56.30461273102179
18.551,7,ASCENT,67.84376672017108,80.42571538304807,55.40529714222807
18.585,7,ASCENT,69.6629213483146,84.96894380254841,54.44714993421862
18.618,7,ASCENT,71.4285714285713,89.56849776242805,53.391936884556934
18.651,7,ASCENT,73.19422150882818,93.70345382717065,52.081150581193036
18.685,7,ASCENT,75.01337613697152,97.7163388288839,50.65884071658215
18.718,7,ASCENT,76.7790262172284,100.53203843276205,48.96962824969414
18.752,7,ASCENT,78.59818084537173,103.45839582693597,47.10167325554052
18.785,7,ASCENT,80.36383092562863,106.7305948731502,44.94002692054406
18.818,7,ASCENT,82.12948100588552,110.63450404821774,42.68158098897938
18.852,7,ASCENT,83.94863563402886,115.19302940322295,40.27587336976249
18.885,7,ASCENT,85.71428571428574,120.21063776939027,37.958372220599244
18.918,7,ASCENT,87.47993579454244,125.11258938551421,35.35144580455468
18.952,7,ASCENT,89.29909042268596,130.57138245638356,32.78906528515829
18.985,7,ASCENT,91.06474050294267,136.37914406208924,30.106366473708327
19.019,7,ASCENT,92.883895131086,142.78359443721715,27.116904266105983
19.052,7,ASCENT,94.64954521134288,150.08521261520497,24.115909478588996
19.085,7,ASCENT,96.41519529159977,156.47643295455805,21.451074218892536
19.119,7,ASCENT,98.23434991974311,162.11586531842596,18.84980666868845
19.152,7,ASCENT,100.0,167.2674057762194,16.322261135338625
