squat_id,percent,knee_angle_norm,hip_angle_norm,trunk_angle_norm
2.0,8.0,134.8177333916052,34.187654448374865,21.42059829416207
2.0,9.0,132.5618974578541,36.48291453586134,23.02152193635064
2.0,10.0,130.21005168881683,38.6143930370913,24.479135473203925
2.0,11.0,127.84519463143681,40.58128924902495,25.845212524799678
2.0,12.0,125.76452466153167,42.357554627956944,27.265767295357065
2.0,13.0,123.65849814508238,44.062081135435704,28.619824305882812
2.0,14.0,121.58992816390258,45.75562482878889,29.895054420224557
2.0,15.0,119.57777683997236,47.46584839463789,31.12082814220576
2.0,16.0,117.67106268290499,49.271772205125856,32.437302664109914
2.0,17.0,116.17671405322439,51.015586038183166,33.78410852512086
2.0,18.0,114.73748260741145,52.795471596918254,34.977288636614
2.0,19.0,113.22174328232187,54.65873498640771,35.97328799661471
2.0,20.0,111.49096789713668,56.77154615646453,36.86432977789098
2.0,21.0,109.7861490392815,58.86544228309576,37.657987008996145
2.0,22.0,108.29254412052715,60.82011622388142,38.36471740446174
2.0,23.0,107.08336805515066,62.58654094883362,38.98829074494623
2.0,24.0,105.75870782731668,64.38445154669442,39.45305011013503
2.0,25.0,105.54508667535669,65.70744642638185,39.97275657249426
2.0,26.0,105.85009340044051,66.76357956490227,40.539442405795285
2.0,27.0,106.23828453459194,67.68885907264348,41.1552400175953
2.0,28.0,106.59792445245199,68.44791344890251,41.797168789929025
2.0,29.0,106.58012234485011,69.1246355499993,42.389954920021744
2.0,30.0,106.35713096863999,69.76092464345011,42.95541077424915
2.0,31.0,106.13201739957796,70.40482128339691,43.51960060028008
2.0,32.0,104.02380236504062,71.73207004024225,44.16633920376735
2.0,33.0,101.63445589259119,73.0428694093795,44.696546184312325
2.0,34.0,99.4607910737707,74.18758002363022,45.14187511056566
2.0,35.0,98.40103197971659,74.89899957644391,45.57753898978257
2.0,36.0,96.72433891235764,76.0458335072764,45.88834135268524
2.0,37.0,94.82416127807495,77.34450050479346,46.349130350662875
2.0,38.0,92.83380294932742,78.69368978503817,46.92610820466199
2.0,39.0,90.97806367917623,79.90779467337379,47.4013918603439
2.0,40.0,89.11823054093861,80.90601430763883,47.92697202561678
2.0,41.0,86.7114750389523,82.12943462124689,48.47745780116193
2.0,42.0,83.7833906940222,83.58820357343951,49.049068291854084
2.0,43.0,81.77939249133064,84.44365792999267,49.64557117683631
2.0,44.0,80.2716941664364,84.9614743571372,49.97270793065895
2.0,45.0,79.12352800189606,85.29465192322341,50.20362013893509
2.0,46.0,78.35771297754764,85.49325153890457,50.4005205595816
2.0,47.0,78.35234817343492,85.67838890409803,50.572772299284786
2.0,48.0,78.44472164645023,85.65373135951195,50.64378667231132
2.0,49.0,78.62157791318833,85.5984365436182,50.68562332435963
2.0,50.0,78.89133693106993,85.62542938704887,50.73986724594378
2.0,51.0,79.37880786716023,85.67171908974656,50.737791954134366
2.0,52.0,80.04513476409899,85.44065456336155,50.71056452784753
2.0,53.0,80.83013883366525,85.0780922238798,50.66461871848189
2.0,54.0,81.65913114533625,84.76613090729829,50.60789808847084
2.0,55.0,82.47506531793147,84.39750022568151,50.51666646328357
2.0,56.0,83.30400934852676,83.99812278428945,50.37393863131075
2.0,57.0,84.19763666556217,83.54867319252857,50.18713305071054
2.0,58.0,85.25216884434093,83.01172430113161,49.97289227901
2.0,59.0,86.25960462920617,82.61303073523936,49.695329772791304
2.0,60.0,87.60634600586532,81.84825526081072,49.362076546985534
2.0,61.0,89.19161063385906,80.78976368063141,48.97723906532088
2.0,62.0,90.58120656664187,79.82706749409681,48.55653545425741
2.0,63.0,91.82003939924013,78.90180348714668,48.07398438464963
2.0,64.0,92.97929938744224,77.86111791900139,47.57876851059616
2.0,65.0,94.02109718199742,76.72071773182721,47.07938081126398
2.0,66.0,94.74478949325105,75.71566236426132,46.57631457470556
2.0,67.0,95.37707192815851,74.83870496747161,46.04189815401263
2.0,68.0,96.17477608199725,73.75669203437107,45.42699264434801
2.0,69.0,97.2641531019396,72.3196949583055,44.70847778445318
2.0,70.0,98.77947974434964,70.45507431075848,43.87712705697941
2.0,71.0,100.39356753218426,68.37730681839457,42.80825638603108
2.0,72.0,102.00332736751277,66.27180808012123,41.67651423583002
2.0,73.0,103.53879766341235,64.25307290766023,40.58254159200892
2.0,74.0,104.89478285920315,62.34792038615762,39.456098891987516
2.0,75.0,106.65939414359626,60.31386628388401,38.28655546192354
2.0,76.0,108.49023455616893,58.2649347642502,37.066406125102176
2.0,77.0,110.07446240244033,56.305967576340464,35.78905097387846
2.0,78.0,111.43501045399164,54.52898522237693,34.680129050918936
2.0,79.0,113.16851686947419,52.39835869428843,33.38955779898774
2.0,80.0,115.07992060459344,50.082430397174036,31.96055858581429
2.0,81.0,116.88723973945821,47.82483077407376,30.45646400484505
2.0,82.0,118.35395426885496,45.74489813461654,28.922622928457237
2.0,83.0,120.0763864109175,43.66638479495697,27.39326306335269
2.0,84.0,122.07402119090852,41.569225409106004,25.857298673326376
2.0,85.0,124.27666751627353,39.44830954953114,24.283916869194766
2.0,86.0,126.49813893852671,37.39900754635262,22.644239800143463
2.0,87.0,128.94758779231418,35.26654495799819,21.00809513473069
2.0,88.0,131.63768448842129,33.04150023297135,19.374204719206613
2.0,89.0,134.49399292556626,30.78216322478304,17.697075467783286
2.0,90.0,137.21235801031688,28.559307240669437,16.075486380240033
2.0,91.0,139.81808400928833,26.446607023451424,14.524272751470212
2.0,92.0,142.37393897259835,24.431065184918786,13.041779557285853
2.0,93.0,145.27822723904214,22.287876503796426,11.609405982462947
2.0,94.0,147.79238381082374,20.337696802148212,10.218617521824026
2.0,95.0,150.23050486122028,18.418351231647524,8.848637088382201
2.0,96.0,152.73508097693067,16.458333007751936,7.489062339174742
2.0,97.0,155.36691907704483,14.459851084465877,6.124685559766448
2.0,98.0,158.00722650893124,12.434923186817448,4.74621365449166
2.0,99.0,160.47150725246445,10.493029335921081,3.508269770510774
2.0,100.0,162.639380215759,8.705836572036786,2.5118194260620585
3.0,0.0,159.87597073734457,13.448841207118686,7.648141803882152
3.0,1.0,157.36926557612193,15.747653098521166,9.44803824762091
3.0,2.0,154.85211434894524,18.09285059857257,11.296414192571065
3.0,3.0,152.31961812512242,20.506187339968662,13.216005252069241
3.0,4.0,149.74600305713392,23.11163622646634,15.243917525012915
3.0,5.0,147.2082850178703,25.760892803369202,17.29651933963533
3.0,6.0,144.91422421033178,28.328755071629658,19.303171790070245
3.0,7.0,142.66137558179446,30.89618189715283,21.393403807428875
